[2026-08-10 21:40:08,112] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:40:08,114] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:40:08,115] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:42:25,282] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:42:25,283] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:42:25,657] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:42:25,657] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:42:25,659] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:42:25,659] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:42:25,660] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:42:25,660] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:44:06,991] [WARNING] [leetcode_tracker]: Network error fetching 'Ajay_A1277' (Attempt 1/3): [Errno 11001] getaddrinfo failed
[2026-08-10 21:44:20,030] [WARNING] [leetcode_tracker]: Network error fetching 'Ajay_A1277' (Attempt 2/3): [Errno 11001] getaddrinfo failed
[2026-08-10 21:45:03,124] [INFO] [leetcode_tracker]: Initializing database & tables...
[2026-08-10 21:45:03,515] [INFO] [leetcode_tracker]: Starting background scheduler...
[2026-08-10 21:45:03,517] [INFO] [leetcode_tracker]: APScheduler started: Sunday jobs registered (08:00 AM & 09:30 AM IST).
[2026-08-10 21:45:03,518] [INFO] [leetcode_tracker]: Backend Application ready and listening!
[2026-08-10 21:46:36,189] [ERROR] [leetcode_tracker]: Failed to create database backup: [WinError 32] The process cannot access the file because it is being used by another process
[2026-08-10 21:46:36,189] [INFO] [leetcode_tracker]: Database backup created: E:\Leetcode Web\data\backups\backup_leetcode_tracker_20260810_214636.db
[2026-08-10 21:46:56,486] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'Ajay_A1277'
[2026-08-10 21:46:56,488] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'Ammu1927'
[2026-08-10 21:46:56,491] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'anushkumar_06'
[2026-08-10 21:46:56,492] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'BHARATH1927'
[2026-08-10 21:47:31,229] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'x8ggzaR6Gx'
[2026-08-10 21:48:00,999] [WARNING] [leetcode_tracker]: Network error fetching 'Iniya3126' (Attempt 1/3): 
[2026-08-10 21:48:05,880] [WARNING] [leetcode_tracker]: Network error fetching 'Iniya3126' (Attempt 1/3): Server disconnected without sending a response.
[2026-08-10 21:48:44,869] [WARNING] [leetcode_tracker]: Network error fetching 'karthi_2007' (Attempt 1/3): 
[2026-08-10 21:48:48,893] [WARNING] [leetcode_tracker]: Network error fetching 'karthi_2007' (Attempt 1/3): 
[2026-08-10 21:49:07,160] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'success_lover_01'
[2026-08-10 21:49:11,648] [WARNING] [leetcode_tracker]: GraphQL error for 'KISHORE_CHAND': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:49:25,023] [WARNING] [leetcode_tracker]: Network error fetching 'KISHORE_CHAND' (Attempt 1/3): Server disconnected without sending a response.
[2026-08-10 21:49:41,285] [WARNING] [leetcode_tracker]: Network error fetching 'KISHORE_CHAND' (Attempt 2/3): 
[2026-08-10 21:49:45,118] [WARNING] [leetcode_tracker]: GraphQL error for 'XDb4OxGxp6': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:49:52,775] [WARNING] [leetcode_tracker]: GraphQL error for 'KISHORE_CHAND': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:49:52,778] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'Laksana_Subramanian'
[2026-08-10 21:49:52,780] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'XDb4OxGxp6'
[2026-08-10 21:49:52,781] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'mahilnethra'
[2026-08-10 21:49:58,101] [WARNING] [leetcode_tracker]: GraphQL error for 'M1c4D2Ur5h': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:50:02,579] [WARNING] [leetcode_tracker]: GraphQL error for 'M1c4D2Ur5h': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:50:18,114] [WARNING] [leetcode_tracker]: GraphQL error for 'Thariq2525': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:50:26,534] [WARNING] [leetcode_tracker]: Network error fetching 'Thariq2525' (Attempt 1/3): 
[2026-08-10 21:50:38,567] [WARNING] [leetcode_tracker]: Network error fetching 'nanthishvaran_07' (Attempt 1/3): Server disconnected without sending a response.
[2026-08-10 21:50:52,179] [WARNING] [leetcode_tracker]: Network error fetching 'Thariq2525' (Attempt 2/3): 
[2026-08-10 21:50:55,036] [WARNING] [leetcode_tracker]: Network error fetching 'nanthishvaran_07' (Attempt 2/3): Server disconnected without sending a response.
[2026-08-10 21:51:09,649] [WARNING] [leetcode_tracker]: Network error fetching 'Thariq2525' (Attempt 3/3): 
[2026-08-10 21:51:11,564] [WARNING] [leetcode_tracker]: Network error fetching 'nanthishvaran_07' (Attempt 3/3): 
[2026-08-10 21:51:47,034] [WARNING] [leetcode_tracker]: Network error fetching 'nithin_31_' (Attempt 1/3): 
[2026-08-10 21:51:50,821] [WARNING] [leetcode_tracker]: Network error fetching 'Nivethytha0704' (Attempt 1/3): 
[2026-08-10 21:52:03,060] [WARNING] [leetcode_tracker]: Network error fetching 'nithin_31_' (Attempt 2/3): 
[2026-08-10 21:52:19,519] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'sahasri_04'
[2026-08-10 21:52:49,935] [WARNING] [leetcode_tracker]: Network error fetching 'Pritss2206' (Attempt 1/3): 
[2026-08-10 21:52:50,227] [WARNING] [leetcode_tracker]: Network error fetching 'Pritss2206' (Attempt 1/3): 
[2026-08-10 21:53:16,293] [WARNING] [leetcode_tracker]: Network error fetching 'Pritss2206' (Attempt 2/3): Server disconnected without sending a response.
[2026-08-10 21:53:16,430] [WARNING] [leetcode_tracker]: Network error fetching 'Pritss2206' (Attempt 2/3): Server disconnected without sending a response.
[2026-08-10 21:54:16,039] [WARNING] [leetcode_tracker]: GraphQL error for 'Rithanika_Venakatac': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:54:23,598] [WARNING] [leetcode_tracker]: GraphQL error for 'Rithanika_Venakatac': [{'message': 'That user does not exist.', 'locations': [{'line': 3, 'column': 3}], 'path': ['matchedUser'], 'extensions': {'handled': True, 'skip_sentry': True}}, {'message': 'User matching query does not exist.', 'locations': [{'line': 17, 'column': 3}], 'path': ['userContestRanking']}]
[2026-08-10 21:54:23,600] [INFO] [leetcode_tracker]: Returning cached LeetCode stats for 'Rithu16122006'
[2026-08-10 21:54:38,050] [WARNING] [leetcode_tracker]: Network error fetching 'Rohith_2682006' (Attempt 1/3): 
[2026-08-10 21:54:40,439] [WARNING] [leetcode_tracker]: Network error fetching 'Rohith_2682006' (Attempt 1/3): Server disconnected without sending a response.
[2026-08-10 21:55:22,379] [WARNING] [leetcode_tracker]: Network error fetching 's8oyP1SH73' (Attempt 1/3): Server disconnected without sending a response.
[2026-08-10 21:55:37,368] [WARNING] [leetcode_tracker]: Network error fetching 'shandeeshrp' (Attempt 1/3): 
[2026-08-10 21:55:38,502] [WARNING] [leetcode_tracker]: Network error fetching 's8oyP1SH73' (Attempt 2/3): 
[2026-08-10 21:55:56,516] [WARNING] [leetcode_tracker]: Network error fetching 's8oyP1SH73' (Attempt 3/3): Server disconnected without sending a response.
[2026-08-10 21:55:56,740] [WARNING] [leetcode_tracker]: Network error fetching 'shandeeshrp' (Attempt 2/3): 
[2026-08-10 21:56:31,332] [WARNING] [leetcode_tracker]: Network error fetching 'Priya_1410' (Attempt 1/3): Server disconnected without sending a response.
[2026-08-10 21:56:34,559] [WARNING] [leetcode_tracker]: Network error fetching 'Priya_1410' (Attempt 1/3): Server disconnected without sending a response.
[2026-08-10 21:56:59,472] [WARNING] [leetcode_tracker]: Network error fetching 'Priya_1410' (Attempt 2/3): 
[2026-08-10 21:56:59,474] [WARNING] [leetcode_tracker]: Network error fetching 'Priya_1410' (Attempt 2/3): 
